name,type,latitude,longitude,description,website,opening_hours,phone,admission_fee
Sabarmati Ashram,monument,23.1815,72.5305,Historic ashram of Mahatma Gandhi,,,,Free
Adalaj Stepwell,monument,23.2283,72.6033,5-storied stepwell,,,,Paid
Jhulta Minar,monument,23.1818,72.6367,Swinging minaret,,,,Free
Bhadra Fort,attraction,23.1868,72.6205,Historic fort in Ahmedabad,,,,Free
Achalpur Jain Temple,attraction,23.185,72.625,Ancient Jain temple,,,,Free
Calico Museum of Textiles,museum,23.1923,72.5845,Museum of textile heritage,www.calicomuseum.org,,,Paid
Textile Museum,museum,23.1925,72.584,Traditional textile display,,,,Paid
Hazrat Pir Park,Leisure: park,23.195,72.58,Public park with recreational facilities,,,,Free
Mahatma Gandhi Sarovar,attraction,23.178,72.53,Historical lake,,,,Free
Takhat ul-Masaajid Mosque,monument,23.184,72.622,Historic mosque with multiple stories,,,,Free
Ahmed Shah Mosque,monument,23.1867,72.6207,Ancient mosque in old city,,,,Free
Sidi Sayed Mosque,monument,23.185,72.625,Mosque with intricate stone screens,,,,Free
Teen Darwaza,monument,23.1865,72.6175,Historic gate in walled city,,,,Free
Juma Mosque,monument,23.1868,72.6195,One of the oldest mosques,,,,Free
Rani Sipri Mosque,monument,23.192,72.61,Tomb and mosque complex,,,,Free
Science City,museum,23.226,72.638,Interactive science museum,,,,Paid
Shreyas Museum,museum,23.174,72.568,Art and heritage museum,,,,Paid
Mansingh Tomar Garden,Leisure: garden,23.205,72.595,Botanical garden,,,,Free
Odhav Lake,Leisure: park,23.235,72.668,Lake with walking trail,,,,Free
Vastrapur Lake,Leisure: park,23.045,72.515,Urban lake and park,,,,Free
Kankaria Lake,Leisure: park,23.0615,72.572,Large recreational lake,,,,Free
Kankaria Zoo,attraction,23.062,72.573,Zoo with various animal species,,,,Paid
Swaminarayan Temple,monument,23.1883,72.6207,Hindu temple with intricate architecture,,,,Free
Vishala Museum,museum,23.08,72.55,Rural art and craft museum,,,,Paid
Integrated Museum,museum,23.179,72.588,Art and history collection,,,,Paid
Auto World Heritage Museum,museum,23.095,72.535,Classic automobile exhibition,,,,Paid
Dada Harir Vav,monument,23.176,72.635,Ancient stepwell,,,,Free
Rani Vav Patan,monument,23.189,72.532,Historic stepwell,,,,Paid
Rani Sipri Park,Leisure: park,23.19,72.61,Green space near historic site,,,,Free
Megh Ghat,attraction,23.2,72.52,Riverside recreational area,,,,Free
Hawa Mahal,monument,23.1855,72.634,Palace with intricate windows,,,,Free
Mangalayatan Temple,monument,23.187,72.615,Hindu temple,,,,Free
Jama Masjid Area,monument,23.1867,72.62,Historic mosque complex,,,,Free
Bab ul-Islam Park,Leisure: park,23.185,72.627,City park,,,,Free
Rajpath Clubhouse,attraction,23.205,72.595,Historic clubhouse,,,,Free
Kala Ghoda Festival Ground,Leisure: park,23.18,72.585,Cultural and arts venue,,,,Free
New Civil Hospital,attraction,23.17,72.57,Heritage building,,,,Free
Natarani Temple,monument,23.192,72.59,Ancient temple,,,,Free
Khanpur Art Gallery,museum,23.185,72.595,Contemporary art space,,,,Paid
Sardar Patel National Memorial,monument,23.185,72.595,Memorial dedicated to Sardar Patel,,,,Free
Heritage Park,Leisure: park,23.16,72.55,Park showcasing heritage,,,,Free
Premabati Library,attraction,23.185,72.61,Historic library,,,,Free
Swaminarayan Temple Complex,monument,23.1915,72.5935,Large temple complex,,,,Free
CIMA Gallery,museum,23.175,72.59,Contemporary Indian museum,,,,Paid
